WellID,Stage,model,mean_Do_x,mean_Do_y,mean_Do_z,sd_Do_x,sd_Do_y,sd_Do_z,hdi_3%_Do_x,hdi_3%_Do_y,hdi_3%_Do_z,hdi_97%_Do_x,hdi_97%_Do_y,hdi_97%_Do_z
3,48,nonlinear,0.142,2.692,1.577,0.014,0.043,0.15,0.116,2.615,1.289,0.166,2.77,1.82
3,49,linear,13.022,3.102,6.489,0.232,0.068,0.171,12.611,2.973,6.213,13.379,3.243,6.84
3,49,nonlinear,1.394,3.103,2.108,0.156,0.063,0.231,1.099,2.968,1.674,1.654,3.221,2.491
3,50,linear,1.469,0.311,3.249,0.022,0.008,0.033,1.427,0.297,3.185,1.51,0.327,3.304
3,50,nonlinear,0.341,0.311,1.73,0.038,0.007,0.188,0.27,0.297,1.356,0.402,0.326,2.005
3,51,linear,1.668,1.288,11.882,0.03,0.072,0.168,1.61,1.159,11.577,1.728,1.424,12.214
3,51,nonlinear,0.117,1.289,2.182,0.015,0.067,0.279,0.087,1.167,1.626,0.141,1.425,2.578
3,52,linear,1.998,1.005,8.223,0.072,0.021,0.093,1.87,0.961,8.038,2.126,1.039,8.391
3,52,nonlinear,0.249,1.004,2.493,0.04,0.021,0.396,0.172,0.958,1.741,0.313,1.039,3.146
3,53,linear,2.151,0.221,5.508,0.065,0.014,0.027,2.053,0.194,5.454,2.28,0.243,5.56
3,53,nonlinear,1.016,0.219,2.541,0.13,0.014,0.326,0.771,0.195,1.934,1.215,0.243,3.044
3,54,linear,9.43,0.219,10.237,0.068,0.008,0.087,9.303,0.204,10.072,9.558,0.234,10.4
3,54,nonlinear,2.681,0.219,2.778,0.402,0.009,0.418,1.911,0.202,1.979,3.313,0.234,3.443
3,55,linear,6.368,0.372,7.749,0.06,0.01,0.095,6.257,0.355,7.571,6.485,0.392,7.945
3,55,nonlinear,2.565,0.372,3.282,0.451,0.01,0.576,1.735,0.353,2.225,3.335,0.391,4.271
3,56,linear,7.743,0.411,9.167,0.051,0.012,0.056,7.651,0.387,9.064,7.837,0.433,9.276
3,57,linear,16.364,1.302,10.412,0.442,0.027,0.119,15.529,1.257,10.168,17.031,1.353,10.608
3,58,linear,8.55,0.528,3.814,0.053,0.008,0.028,8.444,0.514,3.76,8.643,0.541,3.864
3,59,linear,5.141,0.375,2.017,0.035,0.004,0.01,5.079,0.367,1.998,5.203,0.382,2.035
3,60,linear,12.261,1.187,4.593,0.252,0.058,0.094,11.895,1.086,4.441,12.734,1.284,4.78
3,60,nonlinear,5.673,1.188,1.872,0.936,0.061,0.31,3.873,1.092,1.245,7.23,1.295,2.364
3,61,linear,30.172,3.659,4.019,0.933,0.173,0.113,28.784,3.35,3.829,31.841,3.92,4.216
3,61,nonlinear,7.454,3.659,1.602,1.598,0.17,0.344,4.085,3.35,0.867,9.882,3.909,2.115
3,62,linear,17.949,1.842,5.295,1.154,0.12,0.091,16.678,1.673,5.119,20.142,2.076,5.444
3,62,nonlinear,5.488,1.842,1.819,0.755,0.12,0.256,4.006,1.658,1.323,6.669,2.062,2.248
3,63,linear,7.1,0.651,4.287,0.058,0.012,0.097,6.991,0.627,4.091,7.211,0.671,4.473
3,63,nonlinear,3.164,0.652,0.969,0.336,0.012,0.103,2.561,0.626,0.782,3.698,0.672,1.133
3,64,linear,12.134,1.226,2.306,0.127,0.041,0.051,11.874,1.138,2.205,12.378,1.302,2.405
3,64,nonlinear,5.785,1.227,1.111,0.838,0.04,0.162,4.208,1.15,0.803,7.122,1.304,1.375
3,65,linear,8.833,1.06,1.878,0.088,0.026,0.051,8.645,1.012,1.771,9.0,1.104,1.972
3,65,nonlinear,4.471,1.059,0.667,0.505,0.025,0.076,3.528,1.013,0.526,5.319,1.102,0.796
